,batch_size,model,image_size,job_type,num_img,gpu,time
118,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.381013870239258
119,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.383941173553467
120,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.8299319744110107
121,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9089891910552979
122,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9108316898345947
123,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9088377952575684
124,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9085509777069092
125,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9118566513061523
126,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9094159603118896
127,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9122436046600342
128,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9092545509338379
129,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,0.9096865653991699
130,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.2994801998138428
131,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.0166375637054443
132,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.0240671634674072
133,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.027007818222046
134,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.0167179107666016
135,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.025867462158203
136,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.0224223136901855
137,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.0330166816711426
138,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.04319429397583
139,16,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.019200563430786
140,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.7566070556640625
141,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.2021315097808838
142,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.200775384902954
143,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.2012720108032227
144,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.2034668922424316
145,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.201697587966919
146,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.2017481327056885
147,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.201068639755249
148,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.2034051418304443
149,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,1.2027068138122559
150,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,4.129718780517578
151,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.9269697666168213
152,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.942467451095581
153,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.9325997829437256
154,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.9292521476745605
155,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.931584596633911
156,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.942655324935913
157,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.9365527629852295
158,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.9351985454559326
159,16,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,2.9276015758514404
160,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.496495008468628
161,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.4866549968719482
162,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.489844560623169
163,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.4868133068084717
164,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.488234043121338
165,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.4923408031463623
166,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.504178524017334
167,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.5039727687835693
168,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.5066263675689697
169,1,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,3.508035659790039
170,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.606729507446289
171,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.592407464981079
172,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.591272592544556
173,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.594167232513428
