device,model,size,batch_size,ms / img (sync),std dev (sync),ms / img (no sync),std dev (no sync)
RTX 3090,MobileStyleGenerator,1024,16,13.700,0.263,8.155,1.198
RTX 3090,MobileStyleGenerator,256,24,0.900,0.050,0.641,0.052
RTX 3090,MobileStyleGenerator,512,24,3.798,0.059,2.286,0.316
RTX 3090,MobileStyleGenerator,1024,24,14.539,0.053,9.022,1.435
RTX 3090,MobileStyleGenerator,256,32,0.836,0.033,0.593,0.057
RTX 3090,MobileStyleGenerator,512,32,3.695,0.031,2.228,0.331
RTX 3090,MobileStyleGenerator,1024,32,14.411,0.083,8.942,1.457
GTX 1080 Ti,AnyCostGenerator,256,1,17.495,0.676,17.139,1.013
GTX 1080 Ti,AnyCostGenerator,512,1,25.231,0.859,23.550,0.085
GTX 1080 Ti,AnyCostGenerator,1024,1,40.884,1.699,36.247,1.687
GTX 1080 Ti,AnyCostGenerator,256,2,15.584,0.363,15.043,0.070
GTX 1080 Ti,AnyCostGenerator,512,2,23.086,0.808,21.582,0.207
GTX 1080 Ti,AnyCostGenerator,1024,2,36.955,1.576,33.540,0.155
GTX 1080 Ti,AnyCostGenerator,256,4,14.445,0.121,14.224,0.114
GTX 1080 Ti,AnyCostGenerator,512,4,21.399,0.253,20.548,0.121
GTX 1080 Ti,AnyCostGenerator,1024,4,38.269,0.968,32.583,0.246
GTX 1080 Ti,AnyCostGenerator,256,8,14.016,0.133,13.827,0.131
GTX 1080 Ti,AnyCostGenerator,512,8,20.895,0.200,20.279,0.148
GTX 1080 Ti,AnyCostGenerator,1024,8,37.571,0.160,32.270,0.128
GTX 1080 Ti,AnyCostGenerator,256,10,14.001,0.170,13.779,0.167
GTX 1080 Ti,AnyCostGenerator,512,10,20.895,0.176,20.204,0.202
GTX 1080 Ti,AnyCostGenerator,1024,10,37.472,0.162,32.347,0.191
GTX 1080 Ti,AnyCostGenerator,256,12,13.853,0.076,13.726,0.077
GTX 1080 Ti,AnyCostGenerator,512,12,21.465,0.171,20.136,0.184
GTX 1080 Ti,AnyCostGenerator,1024,12,37.170,0.154,32.181,0.184
GTX 1080 Ti,AnyCostGenerator,256,14,13.950,0.162,13.673,0.141
GTX 1080 Ti,AnyCostGenerator,512,14,21.453,0.134,20.060,0.138
GTX 1080 Ti,AnyCostGenerator,1024,14,37.217,0.155,32.189,0.186
GTX 1080 Ti,Style1Generator,256,1,6.953,0.810,6.060,1.111
GTX 1080 Ti,Style1Generator,512,1,15.688,0.773,9.638,3.401
