device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,1,258.744,121.313,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,2,156.904,87.427,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,4,118.650,64.884,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,8,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,10,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,12,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,14,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,1024,16,-1,-1,9930,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,1,680.740,16.141,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,2,631.560,44.565,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,4,679.797,12.918,0,30
